Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
38,21598174c8618f179cb11bfe3effa13acbcec0ac,2023-04-07 15:29:28+00:00,6,61,280,341,False
41,0b1b8e19437e5bfcea4fef772b69e0f722025fc3,2023-04-08 14:43:35+00:00,9,91,231,322,False
44,9f2bf6b370c40fae42752ca0ef9653fa99722f73,2023-04-10 03:44:18+00:00,37,313,1451,1764,False
74,c9d584e483de7f4cbc92099fe5b8f6a52ae12de0,2023-04-11 07:55:46+00:00,15,70,122,192,False
85,99896445c3e8ac112db0550a7671d0d0884e231e,2023-04-12 01:08:12+00:00,15,30,170,200,False
90,729a550b5d21b9d5cb85dbe7d05b68482c820330,2023-04-12 09:14:39+00:00,76,4691,206,4897,False
94,412dfd5047be10258379da0b39afee18b9fa8e83,2023-04-12 10:36:30+00:00,10,17,577,594,False
104,5bbdc9280d3b7f7155ee008422cf7f8ba722c524,2023-04-14 01:36:25+00:00,17,508,306,814,False
108,77e056357bc7a4319df868962ef8df85f994352c,2023-04-14 02:56:25+00:00,9,716,26,742,False
111,ccebd3ccc53add69c1bb847f69be9d8bf582b701,2023-04-14 04:08:04+00:00,13,99,123,222,False
113,4834f55f2347edccb2ef9859ee994f5c9b322a77,2023-04-14 07:28:09+00:00,19,41,72,113,False
135,4bba7386720ed08c3f9bf89e66a41a1abf3c4912,2023-04-18 06:11:05+00:00,20,242,155,397,False
139,ee7d476ad4248beac4b1215036f40735d898cd42,2023-04-18 08:40:14+00:00,2,553,2,555,False
150,f580d58fa947d09d3084765c25b21a2c7c31ce25,2023-04-19 07:50:02+00:00,24,159,151,310,False
156,b939ca743bb9386432907d2403dbd7c0771a66a6,2023-04-20 07:45:10+00:00,2,113,113,226,False
226,9691c56ac0a288fac7cd2847bca44e9858cec823,2023-04-24 03:14:59+00:00,8,827,285,1112,False
233,7992744141967212e4c82e38534f809bd3ec9a18,2023-04-24 04:48:39+00:00,10,390,454,844,False
239,04e7a2a264cec9d6f6e5a60d8bce0b171593a26b,2023-04-24 13:54:57+00:00,9,3,259,262,False
280,8b37e477c33e18b11480b69cc277a6ebd0c8a187,2023-04-28 11:18:19+00:00,13,1,302,303,False
303,b56c6a31fb7d0c045ac583a8abbfa96b851578ac,2023-05-02 04:12:22+00:00,25,301,1005,1306,False
304,b5dbd2921402a7efcab5cd5867b933db5500d995,2023-05-02 05:40:42+00:00,180,1877,1306,3183,False
309,e0d323db2b7400747cde64441fa1378f12abddc8,2023-05-03 01:54:22+00:00,254,23018,25285,48303,False
311,c58a1103a4991b1608e9bf21edb45281be3547cf,2023-05-03 04:12:57+00:00,13,80,49,129,False
315,90e5bcf8686b2b1a038d0c2d3ce7e768a60bd686,2023-05-03 06:36:12+00:00,21,64,1574,1638,False
332,ba82c8098540e22e6632db51ae22af6c0352a341,2023-05-05 04:26:47+00:00,64,4059,14,4073,False
345,82fd915ac250a87d3b3f666c9adf77538aa8f1b3,2023-05-08 02:09:19+00:00,29,113,65,178,False
347,49689c5c14c4694412d06afebfc5e5dcdb4fc857,2023-05-08 04:51:29+00:00,14,32,92,124,False
360,b8cd9a95da5740bf1cb51030f7475f25c274dde7,2023-05-08 13:40:37+00:00,37,1608,173,1781,False
368,155a670ffdb6048fb2d4cd468e9fd1e8df5f42e1,2023-05-09 08:21:11+00:00,15,257,253,510,False
375,3e42160ba50dee513e7c78b03181633a50e71ccf,2023-05-10 03:08:07+00:00,19,3411,2,3413,False
401,8f34efdb3a295215fccb240d446ca280b8633528,2023-05-15 01:55:55+00:00,11,70,275,345,False
410,0f7f304ff17b5de94b890136de2930f7bf459be7,2023-05-16 02:04:43+00:00,7,276,2691,2967,False
414,1a2b98aea81fd0365d106dfaf58b1e2a3886a871,2023-05-16 06:41:28+00:00,88,267,293,560,False
440,d98e7692abb14ce0d349d154c235082c2fb257b6,2023-05-18 09:30:15+00:00,75,650,3134,3784,False
443,fc0dc8f82f355449bd2f5633d7de184b72f06c85,2023-05-19 07:09:09+00:00,12,177,268,445,False
456,e9347e99240ef5e4d5f5df4e0bf4ca92507fa500,2023-05-22 07:17:07+00:00,33,119,406,525,False
461,abc8b16073245a61a3179ae1707f28a95c99713c,2023-05-23 01:37:00+00:00,144,5600,5988,11588,False
469,ad62dd88622698fe622d0dd7e0e05d73345c92db,2023-05-23 10:53:13+00:00,10,54,352,406,False
491,e015cc52c4991ac797c62f67c0a08bcb58752d1b,2023-05-29 01:15:55+00:00,613,49707,37637,87344,False
497,9b97c5110dfa62d586eb36db342651d3afebffa9,2023-05-29 09:23:07+00:00,17,718,612,1330,False
518,ddecbfd5ff15806a84aa0cfd130c0046613148be,2023-05-31 02:41:56+00:00,2,16,163,179,False
521,678008bb8d9cf460172f36da1155295b45434856,2023-05-31 06:50:45+00:00,22,380,563,943,False
529,9d53dae2e3186f5174d821e2fb8c71f233202540,2023-06-01 05:27:46+00:00,23,117,155,272,False
531,0bb8654d34c51c330a42957d32cfbfe6a12e0120,2023-06-01 05:43:19+00:00,4,595,0,595,False
533,7de5020f8d60ff542ea6ff095c5a88b15ef07e1c,2023-06-01 08:13:31+00:00,4,328,13,341,False
536,52a0d751ec8028c8c43861497054dc78fb8ece92,2023-06-01 14:08:40+00:00,3,1,227,228,False
538,1ec75efe1662128211b34242a3e9c0cb6f9eb925,2023-06-02 04:42:44+00:00,13,56,450,506,False
541,098ff1920280c2f67792ae9538674ac123205cf1,2023-06-02 07:54:28+00:00,8,87,161,248,False
542,e62ac8796a3f08db7132e32c76413c26ac3171a0,2023-06-02 08:14:08+00:00,14,70,92,162,False
553,6cb12dd7ce80ccc05bdca671451f3cafad07717f,2023-06-05 07:18:41+00:00,3,158,49,207,False
554,0529124e9d31fbee55f8bf18b08bc7b8fa3ddf14,2023-06-06 03:12:52+00:00,19,274,268,542,False
571,760b75900f80099a96e0af6198248e4f4756fcbd,2023-06-08 01:27:53+00:00,18,197,328,525,False
585,de3e79a92693942353dfc67a610e445fddfa883c,2023-06-09 02:11:01+00:00,17,1038,1705,2743,False
588,3c4d19e7574c403fb59da0d916d34a997e7d0587,2023-06-09 02:42:50+00:00,3,96,86,182,False
595,35b88defa2869315245ad62499163d29e8a576b3,2023-06-09 07:06:42+00:00,2,120,256,376,False
603,29fa81478bba6076c3cfa262b33c395369da8289,2023-06-12 07:20:23+00:00,32,204,1763,1967,False
613,e2cdb60085211928fa2fb20298fc88b2be5db0fa,2023-06-13 23:50:36+00:00,1,106,143,249,False
616,4510286c8dbcf0d22ad5a6a28ec8bc01b8da1a47,2023-06-14 02:06:57+00:00,3,1,836,837,False
617,938aa75f5070b7b22cec84686a60ddbea5642a37,2023-06-14 02:30:43+00:00,17,190,340,530,False
646,791b5e933b5f7c17e4e2a044d36dacc2ae2a2806,2023-06-19 21:40:09+00:00,25,47,42,89,False
657,94e52f6499b9c6a2d12a548b1b948cd83f882ecc,2023-06-21 10:39:35+00:00,40,272,1277,1549,False
664,df6f0cb6bda8e28bd5418051f2042638bfbf6c0a,2023-06-22 14:43:39+00:00,89,539,4849,5388,False
673,41a58ca8b59d7152c817590ce55215660c0e1333,2023-06-26 03:39:08+00:00,103,469,1277,1746,False
679,9b0289f51e0ec67146de066f0bc00bd446651498,2023-06-26 14:25:20+00:00,64,345,2167,2512,True
684,7ea26e6e2cf23eb340fcba160abfedc2a172839f,2023-06-27 03:49:44+00:00,64,2167,345,2512,False
687,780fd7eb9bf823ca36b03d3b0915acd0a44beb30,2023-06-27 08:48:06+00:00,18,210,777,987,False
691,0972af80e630cf0ab8fa812f108bc4e89c2fa71d,2023-06-27 14:11:01+00:00,19,115,242,357,False
692,b2dac0656af592f085b58d3d7def3cc4534fbe69,2023-06-27 15:57:11+00:00,64,345,2167,2512,False
702,67cd3ca34c08c5ddd63f6e3141df24e2858463b6,2023-06-28 13:48:53+00:00,9,87,253,340,False
714,1634d848ddf0da7e9a94228b3dceba845bd7bfa8,2023-06-29 14:33:53+00:00,23,57,155,212,False
715,5d7f7670470784235cca04ad0b7b23ad8f84704f,2023-06-29 14:56:17+00:00,14,1,432,433,False
736,1837548fe8b23ef91f92922bcef5f88f07bf427a,2023-07-03 09:35:28+00:00,14,133,146,279,False
749,477ed49cd652aed42284dae0acf7d13ee9426554,2023-07-04 07:29:06+00:00,15,73,63,136,False
765,88a64fea64b4bb1e71f14505a94d658893b61cc7,2023-07-06 03:13:48+00:00,2,344,149,493,False
772,5706947596b3c2ad7818b56351a2ed0e049b1f8d,2023-07-07 07:30:24+00:00,1,424,113,537,False
783,e8dd05243a20b9329cdb3b802dad75f680ca3d29,2023-07-10 03:15:01+00:00,58,1580,531,2111,False
787,09e7ead7722c704e6dcf95be534d997fdb7ea2c7,2023-07-10 07:08:11+00:00,16,113,366,479,False
802,f8c369fc9d2eff2bd8338b7a7fc7125cb5a2f4f2,2023-07-12 02:31:32+00:00,35,105,239,344,False
816,2c681b7608d763d72ee3ba8444edde66f25bdb9a,2023-07-14 08:22:50+00:00,38,157,200,357,False
831,31969397d312ec025f026e69da099e6040fb01bd,2023-07-19 07:25:38+00:00,14,1947,243,2190,False
865,1b085efafdb55e5777d778a0d530e47b1ca55a9c,2023-07-26 07:48:56+00:00,26,26,168,194,False
874,6357c7da874177bdd54fc18b66deadbdcaafc8bf,2023-07-27 02:38:52+00:00,23,97,124,221,False
877,77fc3406a04363d1fb9c8ee352134407ab76dd40,2023-07-27 11:30:48+00:00,14,30,35,65,False
879,51e0d1026e0d6c1499d7743283bee5c8121d7e37,2023-07-27 12:56:36+00:00,8,1,156,157,False
910,1f068e9a3283f626f92d2624d7985a9ec274bf89,2023-07-31 12:38:32+00:00,32,184,1804,1988,False
916,831d968967e086a5b2681d320e6f7287b31d3be6,2023-08-01 13:59:40+00:00,2,145,145,290,False
920,b0aa515b5b5ab170ecc6dee87dc9008cf9c86916,2023-08-01 17:45:47+00:00,19,107,187,294,False
926,4b28f18d43e1c9fcf82b6b2b053e75e7c01be095,2023-08-02 07:31:46+00:00,17,3,75,78,False
945,afcb6a30d6f12a3154a7883fc2d93061132c1933,2023-08-08 05:32:54+00:00,10,191,245,436,True
946,0dbff28b2d0afb928c3b0ac5ad4fccc9e19a4c33,2023-08-08 06:19:14+00:00,10,245,191,436,False
952,8b24103b1df6ff56884bc29a678a4dd4baee7ebd,2023-08-09 13:53:20+00:00,10,191,245,436,False
964,ca0f90b69c59ce282cc39ec703444dc9581779a9,2023-08-11 02:05:57+00:00,6,72,203,275,False
981,2cddc26e6f1adfc21385117beefb9d8a20fe258d,2023-08-14 03:03:16+00:00,29,200,119,319,False
992,df45d0f8a5d5c33cdd0486913d2012abaa82bf02,2023-08-15 10:54:34+00:00,27,524,1786,2310,False
996,b61dcaf3781ec3763f20af540cd76b7b5c5e3681,2023-08-15 17:25:03+00:00,5,167,51,218,False
1002,14371155a813bfb5e96e680b2e174cbcab8c186f,2023-08-16 04:28:02+00:00,19,3,98,101,False
1016,358994e9664f010044930dd69699b947cbb07f4a,2023-08-17 09:22:30+00:00,26,235,328,563,False
